Timestamp,CPU_Temp_C
2025-07-19 20:07:19,60.0
2025-07-19 20:07:24,58.0
2025-07-19 20:07:29,57.0
2025-07-19 20:18:51,61.0
2025-07-19 20:18:56,58.0
2025-07-19 20:19:01,58.0
2025-07-19 20:19:06,57.0
2025-07-19 20:19:11,58.0
2025-07-19 20:19:16,57.0
2025-07-19 20:19:21,58.0
2025-07-19 20:19:26,57.0
2025-07-19 20:19:31,56.0
2025-07-19 20:19:36,56.0
2025-07-19 20:19:41,57.0
2025-07-19 20:19:46,56.0
2025-07-19 20:37:25,67.0
2025-07-19 20:37:30,63.0
2025-07-19 20:37:36,63.0
2025-07-20 07:39:51,58.0
2025-07-20 07:39:56,57.0
2025-07-20 07:40:01,56.0
2025-07-20 07:40:06,57.0
2025-07-20 07:48:12,61.0
2025-07-20 07:48:17,58.0
2025-07-20 07:48:22,58.0
2025-07-20 07:48:27,57.0
2025-07-20 07:48:32,57.0
2025-07-20 07:48:37,58.0
2025-07-20 07:48:42,56.0
2025-07-20 07:48:47,58.0
2025-07-20 07:49:36,57.0
2025-07-20 07:49:41,57.0
2025-07-20 07:49:46,57.0
2025-07-20 07:49:51,57.0
2025-07-20 07:49:56,60.0
2025-07-20 07:50:01,58.0
2025-07-20 07:50:06,57.0
2025-07-20 07:50:11,58.0
2025-07-20 07:50:16,58.0
2025-07-20 07:50:21,58.0
2025-07-20 07:50:26,59.0
2025-07-20 07:50:40,58.0
2025-07-20 07:50:45,59.0
2025-07-20 07:50:50,59.0
2025-07-20 07:50:55,59.0
2025-07-20 07:51:00,60.0
2025-07-20 07:51:05,60.0
2025-07-20 07:51:10,61.0
2025-07-20 07:51:16,61.0
2025-07-20 07:51:22,60.0
2025-07-20 07:51:27,59.0
2025-07-20 07:51:32,60.0
2025-07-20 07:51:37,59.0
2025-07-20 07:51:42,61.0
2025-07-20 07:51:47,60.0
2025-07-20 07:51:52,61.0
2025-07-20 07:51:58,61.0
2025-07-20 07:52:03,61.0
2025-07-20 07:52:08,61.0
2025-07-20 07:52:14,61.0
2025-07-20 07:52:20,60.0
2025-07-20 07:52:25,60.0
2025-07-20 07:52:30,60.0
2025-07-20 07:52:35,58.0
2025-07-20 07:52:40,59.0
2025-07-20 07:52:45,60.0
2025-07-20 07:52:50,60.0
2025-07-20 07:52:55,59.0
2025-07-20 07:54:30,62.0
2025-07-20 07:57:07,61.0
2025-07-20 07:57:12,58.0
2025-07-20 07:57:17,60.0
2025-07-20 07:57:22,58.0
2025-07-20 07:57:27,59.0
2025-07-20 07:57:32,58.0
2025-07-20 07:57:37,59.0
2025-07-20 07:57:42,60.0
2025-07-20 07:57:47,60.0
2025-07-20 07:57:52,61.0
2025-07-20 07:57:57,60.0
2025-07-20 07:58:02,61.0
2025-07-20 07:58:07,61.0
2025-07-20 07:58:12,61.0
2025-07-20 07:58:17,60.0
2025-07-20 07:58:22,62.0
2025-07-20 07:58:27,60.0
2025-07-20 07:58:32,61.0
2025-07-20 07:58:37,61.0
2025-07-20 07:58:42,61.0
2025-07-20 07:58:47,64.0
2025-07-20 07:58:52,64.0
2025-07-20 07:58:57,64.0
2025-07-20 07:59:02,63.0
2025-07-20 07:59:07,63.0
2025-07-20 07:59:12,65.0
2025-07-20 07:59:17,62.0
2025-07-20 07:59:22,61.0
2025-07-20 07:59:27,63.0
2025-07-20 07:59:32,64.0
2025-07-20 07:59:37,63.0
2025-07-20 07:59:43,63.0
2025-07-20 07:59:48,63.0
2025-07-20 07:59:53,63.0
2025-07-20 07:59:58,64.0
2025-07-20 08:00:03,64.0
2025-07-20 08:00:08,64.0
2025-07-20 08:00:13,64.0
2025-07-20 08:00:18,63.0
2025-07-20 08:00:23,63.0
2025-07-20 08:00:28,63.0
2025-07-20 08:01:35,62.0
2025-07-20 08:01:40,59.0
2025-07-20 08:01:45,60.0
2025-07-20 08:01:50,61.0
2025-07-20 08:01:55,61.0
2025-07-20 08:02:00,62.0
2025-07-20 08:02:05,59.0
2025-07-20 08:02:10,59.0
2025-07-20 08:02:15,61.0
2025-07-20 08:02:20,61.0
2025-07-20 08:02:25,62.0
2025-07-20 08:02:30,62.0
2025-07-20 08:02:35,64.0
2025-07-20 08:02:40,63.0
2025-07-20 08:02:45,60.0
2025-07-20 08:02:50,61.0
2025-07-20 08:02:55,60.0
2025-07-20 08:03:00,60.0
2025-07-20 08:03:05,61.0
2025-07-20 08:03:10,63.0
2025-07-20 08:03:15,62.0
2025-07-20 08:03:20,63.0
2025-07-20 08:03:25,61.0
2025-07-20 08:03:30,62.0
2025-07-20 08:03:35,64.0
2025-07-20 08:03:40,64.0
2025-07-20 08:03:45,65.0
2025-07-20 08:03:50,62.0
2025-07-20 08:03:55,62.0
2025-07-20 08:04:00,63.0
2025-07-20 08:04:05,64.0
2025-07-20 08:04:10,66.0
2025-07-20 08:04:15,63.0
2025-07-20 08:04:20,61.0
2025-07-20 08:04:25,60.0
2025-07-20 08:04:30,61.0
2025-07-20 08:04:35,61.0
2025-07-20 08:04:40,60.0
2025-07-20 08:04:45,59.0
2025-07-20 08:04:50,60.0
2025-07-20 08:05:36,58.0
2025-07-20 08:10:36,58.0
2025-07-20 08:15:36,57.0
2025-07-20 08:19:32,58.0
2025-07-20 08:21:30,61.0
2025-07-20 08:21:36,62.0
2025-07-20 08:21:42,63.0
2025-07-20 08:21:47,62.0
2025-07-20 08:21:53,65.0
2025-07-20 08:21:59,63.0
2025-07-20 08:22:05,64.0
2025-07-20 08:22:11,62.0
2025-07-20 08:22:16,62.0
2025-07-20 08:22:22,61.0
2025-07-20 08:22:27,62.0
2025-07-20 08:22:34,61.0
2025-07-20 08:22:40,61.0
2025-07-20 08:22:46,61.0
2025-07-20 08:22:54,63.0
2025-07-20 08:25:04,61.0
2025-07-20 08:25:58,66.0
2025-07-20 08:45:42,72.0
2025-07-20 08:46:25,71.0
2025-07-20 08:47:07,68.0
2025-07-20 08:47:22,69.0
2025-07-20 08:55:42,60.0
2025-07-20 09:02:42,59.0
2025-07-20 09:11:36,62.0
2025-07-20 09:23:12,60.0
2025-07-20 09:31:29,57.0
2025-07-20 09:39:49,68.0
2025-07-20 09:46:01,64.0
2025-07-20 09:50:44,68.0
